Depth (m),A (kPa),B (kPa),C (kPa)
10.45,406.3,1146.8,66.6
10.5,418.2,1186.5,65.7
10.55,408.0,1191.3,64.9
10.6,397.8,1196.1,64.0
10.65,387.6,1200.9,63.1
10.7,377.4,1205.7,62.2
10.75,405.2,1284.1,61.3
10.8,432.7,1357.4,63.1
10.85,471.6,1432.9,65.1
10.9,521.4,1565.7,67.0
10.95,536.7,1508.2,68.9
11.0,525.7,1450.7,70.8
11.05,514.7,1392.8,72.7
11.1,501.0,1320.7,69.9
11.15,488.7,1276.9,67.2
11.2,466.8,1245.6,64.5
11.25,444.6,1200.3,61.8
11.3,423.7,1149.7,59.1
11.35,408.4,1091.6,56.3
11.4,391.3,995.8,62.8
11.45,376.4,895.1,71.8
11.5,365.6,815.9,80.8
11.55,362.0,750.1,89.9
11.6,361.5,695.6,98.9
11.65,362.9,646.0,112.0
11.7,364.8,603.6,130.6
11.75,365.4,567.2,146.6
11.8,365.4,564.0,160.9
11.85,365.4,560.7,174.7
11.9,365.4,557.4,186.1
11.95,371.7,556.9,197.6
12.0,379.6,558.2,208.7
12.05,387.5,559.6,218.2
12.1,395.4,561.0,227.6
12.15,398.7,563.0,237.1
12.2,398.8,565.4,245.5
12.25,399.0,567.9,253.3
12.3,398.5,570.4,261.1
12.35,394.8,569.1,264.6
12.4,390.1,565.4,257.2
12.45,381.4,561.7,249.8
12.5,374.6,558.1,242.4
12.55,374.9,557.2,235.0
12.6,375.7,567.8,229.4
12.65,380.8,579.2,240.1
12.7,386.9,591.5,250.7
12.75,392.7,596.4,261.4
12.8,398.3,596.4,272.1
12.85,405.2,596.5,282.7
12.9,412.4,596.5,293.4
12.95,419.4,592.9,297.9
13.0,415.0,583.9,295.7
13.05,410.6,574.9,293.5
13.1,407.6,565.9,291.3
13.15,407.0,557.0,289.1
13.2,407.2,563.4,292.6
13.25,415.1,573.8,298.5
13.3,423.1,584.1,304.4
13.35,429.4,594.4,310.3
13.4,435.5,600.7,316.2
13.45,441.6,606.9,322.1
13.5,447.7,613.2,328.0
13.55,453.8,619.4,333.8
13.6,459.8,625.7,339.0
13.65,465.8,631.9,344.0
13.7,471.8,638.2,349.0
13.75,477.8,644.4,354.0
13.8,479.2,647.9,359.0
13.85,480.5,649.6,363.6
13.9,483.0,652.7,367.9
13.95,485.9,658.0,372.3
14.0,490.0,665.3,376.7
14.05,496.0,675.6,381.1
14.1,502.2,689.6,385.4
14.15,502.4,691.8,373.3
14.2,493.6,689.0,357.3
14.25,478.8,682.9,339.2
14.3,462.6,677.1,323.5
14.35,446.1,671.6,313.2
14.4,444.0,670.7,302.8
14.45,442.0,671.1,292.5
14.5,441.3,671.4,285.5
14.55,441.6,674.9,298.6
14.6,455.9,680.6,311.6
14.65,473.9,686.9,324.7
14.7,493.4,694.2,350.0
14.75,511.5,700.8,370.9
14.8,524.3,706.2,387.4
14.85,533.5,711.7,398.9
14.9,540.7,716.9,406.0
14.95,546.6,721.7,413.0
15.0,552.6,730.1,420.1
15.05,557.2,739.4,422.4
15.1,561.8,749.3,424.0
15.15,566.4,759.2,425.7
15.2,570.4,762.1,427.3
15.25,574.2,760.3,429.0
15.3,578.1,758.5,430.6
15.35,582.6,757.9,432.3
15.4,582.6,758.1,433.9
15.45,582.5,758.2,435.0
15.5,579.0,758.4,435.6
15.55,574.7,759.6,436.2
15.6,570.5,764.7,436.7
15.65,575.8,769.8,437.3
15.7,581.0,774.9,437.9
15.75,587.5,780.0,438.5
15.8,594.5,777.9,439.0
15.85,591.8,771.1,439.6
15.9,586.6,764.3,440.2
15.95,581.6,757.5,439.5
16.0,576.7,753.7,437.4
16.05,575.5,761.5,435.2
16.1,576.5,769.4,433.0
16.15,579.8,777.3,430.8
16.2,584.4,782.4,428.6
16.25,584.0,776.7,426.4
