GROUP,TEST
HEADING,TEST_ID,SITE_ID,TEST_NAME,TEST_TYPE,TEST_LAT,TEST_LON,TEST_ELEV,TEST_REM
DATA,965,186,CPTU-1,SCPG,37.824806,-122.374042,,"From Pass et al. (1994) - Digitized"

GROUP,SCPG
HEADING,SCPG_ID,TEST_ID,SCPG_CSA,SCPG_RATE,SCPG_CREW,SCPG_METH,SCPG_STAR,SCPG_ENDD,SCPG_PWP,SCGP_REM
DATA,276,965,10,2,Pass,"ASTM D3550-84",,,,

GROUP,SCPT
HEADING,SCPT_ID,SCPG_ID,SCPT_DPTH,SCPT_RES,SCPT_FRES,SCPT_PWP
DATA,81044,276,11,5.58138,0.0315021,0.173925
DATA,81045,276,11.1,5.58138,0.0365923,0.25859
DATA,81046,276,11.2,6.25846,0.0416819,0.217971
DATA,81047,276,11.3,5.76159,0.0351347,0.258634
DATA,81048,276,11.4,3.18809,0.0191333,0.258634
DATA,81049,276,11.5,2.69135,0.0191333,0.258634
DATA,81050,276,11.6,2.51064,0.0231286,0.363622
DATA,81051,276,11.7,1.9236,0.0231286,0.363622
DATA,81052,276,11.8,1.201,0.0231286,0.40088
DATA,81053,276,11.9,1.201,0.0267633,0.61083
DATA,81054,276,12,0.929742,0.0296693,0.631177
DATA,81055,276,12.1,0.929742,0.0296693,0.631177
DATA,81056,276,12.2,0.793756,0.0296693,0.604099
DATA,81057,276,12.3,0.793756,0.0358502,0.604099
DATA,81058,276,12.4,0.793756,0.0322118,0.488982
DATA,81059,276,12.5,0.793756,0.0322118,0.333252
DATA,81060,276,12.6,1.10945,0.0187561,0.333252
DATA,81061,276,12.7,1.10945,0.0354814,0.573669
DATA,81062,276,12.8,1.28983,0.0194793,0.465334
DATA,81063,276,12.9,0.883003,0.0194793,0.407778
DATA,81064,276,13,0.883003,0.023842,0.641433
DATA,81065,276,13.1,0.883003,0.0300218,0.641433
DATA,81066,276,13.2,0.883003,0.0300218,0.729491
DATA,81067,276,13.3,0.927061,0.0285642,0.729491
DATA,81068,276,13.4,0.927061,0.0285642,0.590678
DATA,81069,276,13.5,0.927061,0.0220177,0.516196
DATA,81070,276,13.6,0.927061,0.0383773,0.831803
DATA,81071,276,13.7,0.927061,0.0383773,0.831803
DATA,81072,276,13.8,0.927061,0.0383773,0.732939
DATA,81073,276,13.9,0.927061,0.037283,0.736344
DATA,81074,276,14,0.970994,0.037283,0.736344
DATA,81075,276,14.1,0.970994,0.037283,0.760068
DATA,81076,276,14.2,0.970994,0.0423713,0.760068
DATA,81077,276,14.3,0.970994,0.0423713,0.763473
DATA,81078,276,14.4,0.970994,0.0350975,0.695766
DATA,81079,276,14.5,0.970994,0.0358241,0.540027
DATA,81080,276,14.6,0.970994,0.0310954,0.540027
DATA,81081,276,14.7,0.970994,0.0394581,0.604385
DATA,81082,276,14.8,1.10602,0.0340018,0.604385
DATA,81083,276,14.9,1.10602,0.0340012,0.787254
DATA,81084,276,15,1.10602,0.0241795,0.787254
DATA,81085,276,15.1,1.10568,0.0241795,0.580709
DATA,81086,276,15.2,1.10568,0.0379975,0.71955
DATA,81087,276,15.3,1.1053,0.0430867,0.814367
DATA,81088,276,15.4,1.1053,0.0409032,0.817762
DATA,81089,276,15.5,1.1502,0.0459938,0.800861
DATA,81090,276,15.6,1.1502,0.0438099,0.800861
DATA,81091,276,15.7,1.19484,0.0438089,0.824581
DATA,81092,276,15.8,1.19484,0.0456254,0.824581
DATA,81093,276,15.9,1.19484,0.0456254,0.865235
DATA,81094,276,16,1.10375,0.0452601,0.865235
DATA,81095,276,16.1,1.10375,0.0441685,0.831397
DATA,81096,276,16.2,1.10375,0.050349,0.831397
DATA,81097,276,16.3,1.10375,0.0463469,0.824644
DATA,81098,276,16.4,1.10375,0.0419829,0.828043
DATA,81099,276,16.5,1.10375,0.0372543,0.56055
DATA,81100,276,16.6,1.19317,0.0387075,0.746795
DATA,81101,276,16.7,1.19317,0.0368883,0.631684
DATA,81102,276,16.8,1.19317,0.0503408,0.760367
DATA,81103,276,16.9,1.19317,0.0339761,0.337119
DATA,81104,276,17,1.19317,0.0270666,0.597856
DATA,81105,276,17.1,1.19317,0.0379731,0.872303
DATA,81106,276,17.2,1.14677,0.0379731,0.814581
DATA,81107,276,17.3,1.14677,0.0481522,0.824767
DATA,81108,276,17.4,1.14677,0.0481522,0.824767
DATA,81109,276,17.5,1.14677,0.033606,0.628386
DATA,81110,276,17.6,1.14677,0.0430576,0.841725
DATA,81111,276,17.7,1.14677,0.0430576,0.841725
DATA,81112,276,17.8,1.14677,0.0430555,0.875598
DATA,81113,276,17.9,1.14677,0.0430555,0.882385
DATA,81114,276,18,1.37091,0.0470545,0.906097
DATA,81115,276,18.1,1.37091,0.0463256,0.868863
DATA,81116,276,18.2,1.37091,0.0470518,0.889186
DATA,81117,276,18.3,1.37091,0.0474145,0.916286
DATA,81118,276,18.4,1.37091,0.0375942,0.851962
DATA,81119,276,18.5,1.37091,0.0463212,0.686061
DATA,81120,276,18.6,1.37091,0.0463195,0.919722
DATA,81121,276,18.7,1.37091,0.0448636,0.919722
DATA,81122,276,18.8,1.37091,0.0477717,0.814779
DATA,81123,276,18.9,1.37091,0.0474067,0.814779
DATA,81124,276,19,1.37091,0.0488588,0.879125
DATA,81125,276,19.1,1.32467,0.0488588,0.841892
DATA,81126,276,19.2,1.32467,0.0372204,0.889308
DATA,81127,276,19.3,1.32467,0.0499464,0.889308
DATA,81128,276,19.4,1.32467,0.0503087,0.709867
DATA,81129,276,19.5,1.32467,0.0503087,0.750508
DATA,81130,276,19.6,1.32467,0.0484823,0.469487
DATA,81131,276,19.7,1.32467,0.0484823,0.814876
DATA,81132,276,19.8,1.414,0.0484823,0.781029
DATA,81133,276,19.9,1.414,0.0484823,0.781029
DATA,81134,276,20,1.414,0.0513935,0.665912
DATA,81135,276,20.1,1.414,0.0404833,0.98421
DATA,81136,276,20.2,1.414,0.0390271,0.760773
DATA,81137,276,20.3,1.414,0.018298,0.845404
DATA,81138,276,20.4,1.95547,0.018298,0.703221
DATA,81139,276,20.5,1.95547,0.0281139,0.703221
DATA,81140,276,20.6,4.25784,0.0281139,0.540709
DATA,81141,276,20.7,3.03871,0.0484756,0.835303
DATA,81142,276,20.8,1.00701,0.0524742,0.835303
DATA,81143,276,20.9,1.36768,0.0579285,0.591524
DATA,81144,276,21,1.36768,0.0441089,0.828559
DATA,81145,276,21.1,1.36768,0.0401078,0.835347
