Depth (m),P0 (kPa),P1 (kPa),P2 (kPa)
9.85,385.14825,1031.419143,72.94891436
9.9,378.36,1116.277,74.39822376
9.95,374.21,1089.382,75.84753315
10,370.06,1062.487,77.29684254
10.05,365.91,1037.98075,78.74615193
10.1,361.76,1015.067,79.36972703
10.15,357.61,1002.22475,79.7604027
10.2,353.46,989.3825,80.15107838
10.25,352.99,976.54025,80.54175405
10.3,352.52,963.698,80.93242973
10.35,363.016,1003.4085,81.32310541
10.4,373.512,1043.119,81.71378108
10.45,384.008,1082.8295,81.62062928
10.5,394.504,1122.54,80.73807477
10.55,383.56875,1127.32325,79.85552025
10.6,372.6335,1132.1065,78.97296573
10.65,361.69825,1136.88975,78.09041121
10.7,350.763,1141.673,77.2078567
10.75,376.0135,1220.1205,76.32530218
10.8,401.264,1293.36,78.13824242
10.85,438.328,1368.945,80.06349495
10.9,483.897375,1501.689,81.98874747
10.95,502.828,1444.175818,83.914
11,494.2115,1386.662636,85.83925253
11.05,485.595,1328.828,87.67152244
11.1,474.807,1256.721667,84.94764423
11.15,464.019,1212.9458,82.22376603
11.2,442.6448333,1181.5743,79.49988782
11.25,421.556,1136.31,76.77600962
11.3,402.1117692,1085.7,74.05213141
11.35,388.9606154,1027.6,71.32825321
11.4,375.8094615,931.79775,77.77490299
11.45,365.1618571,831.139,86.80811194
11.5,357.869125,751.915,95.8413209
11.55,357.31975,686.1202,104.8745299
11.6,359.518,631.6357,113.9077388
11.65,363.548,581.977,126.9574022
11.7,367.578,539.557,145.5535978
11.75,370.0622222,503.2398,161.634075
11.8,370.2277778,499.9528,175.892825
11.85,370.3933333,496.6658,189.6522215
11.9,370.5588889,493.3788,201.1367852
11.95,377.1746667,492.8809,212.621349
12,385.403,494.2424,223.6999945
12.05,393.6313333,495.6039,233.1549669
12.1,401.8596667,496.9654,242.6099392
12.15,405.1877059,498.9851,252.0649116
12.2,405.2488824,501.4436,260.5484
12.25,405.3100588,503.9021,268.3284
12.3,404.6053,506.3606,276.1084
12.35,400.8368,505.1289091,279.6352973
